cand_id,name,transaction_amt
H2PA061142014,48,48
H2PA070702012,42,42
H2PA081022012,44,44
H2PA090352012,72,72
H2PA090352014,68,68
H2PA100902012,10,10
H2PA110982012,34,34
H2PA110982014,18,18
H2PA131102012,18,18
H2PA140842012,12,12
H2PA160632012,4,4
H2PA170792012,58,58
H2PA170792014,30,30
H2PA181432012,56,56
H2PA181432014,62,62
H2PA181502012,70,70
H2RI011782012,36,36
H2RI021352012,12,12
H2SC020422012,30,30
H2SC020422014,20,20
H2SC020592012,14,14
H2SC020592014,26,26
H2SC070662012,122,122
H2SC070662014,64,64
H2SC071082012,12,12
H2SC071082014,4,4
H2SD001342012,26,26
H2TN010722012,2,2
H2TN031442012,5,5
H2TN031442014,7,7
H2TN042582012,18,18
H2TN051312012,52,52
H2TN051312014,56,56
H2TN060302012,64,64
H2TN060302014,86,86
H2TN081272012,2,2
H2TX000152012,2,2
H2TX000152014,6,6
H2TX010622012,2,2
H2TX031182012,42,42
H2TX031182014,34,34
H2TX031262012,58,58
H2TX031262014,210,210
H2TX051212012,168,168
H2TX051212014,192,192
H2TX101132012,2,2
H2TX141492012,84,84
H2TX141492014,54,54
H2TX161852012,62,62
H2TX161852014,40,40
H2TX161932012,6,6
H2TX200392012,2,2
H2TX210862012,2,2
H2TX230822012,114,114
H2TX230822014,112,112
H2TX231242012,216,216
H2TX231242014,364,364
H2TX252692012,2,2
H2TX260932012,16,16
H2TX260932014,10,10
H2TX271332012,20,20
H2TX271902012,10,10
H2TX271902014,78,78
H2TX290302012,12,12
H2TX290302014,26,26
H2TX310442012,52,52
H2TX310442014,86,86
H2TX320672012,10,10
H2TX330402012,114,114
H2TX330402014,204,204
H2TX330732012,28,28
H2TX330732014,56,56
H2TX331232012,2,2
H2TX350112012,80,80
H2TX350112014,42,42
H2TX350292012,14,14
H2TX350292014,32,32
H2UT010942012,8,8
H2UT010942014,26,26
H2UT012352012,34,34
H2UT012352014,30,30
H2UT023242012,16,16
H2UT023242014,26,26
H2UT023572012,4,4
H2UT032492012,2,2
H2UT040232012,276,276
H2UT040232014,272,272
H2VA010662012,10,10
H2VA020492012,178,178
H2VA040522012,48,48
H2VA040522014,90,90
H2VA061152012,22,22
H2VA061152014,56,56
H2VA061802012,4,4
H2VA071132012,20,20
H2VA090772012,16,16
H2VA101172012,50,50
H2VA101252012,8,8
H2VA111492012,42,42
H2VA111722014,2,2
H2VT001102014,1,1
H2WA021772012,4,4
H2WA040412012,56,56
H2WA040412014,4,4
H2WA050712012,6,6
H2WA061292012,76,76
H2WA061292014,50,50
H2WA061452012,96,96
H2WA071012012,2,2
H2WA081582012,2,2
H2WI010842012,21,21
H2WI010842014,3,3
H2WI021242012,6,6
H2WI021242014,10,10
H2WI070652012,12,12
H2WV010372014,15,15
H2WV010942012,8,8
H4AK001232014,1,1
H4AL011232014,3,3
H4AL050822014,2,2
H4AL060982014,42,42
H4AL061482014,9,9
H4AR010512014,13,13
H4AR021332014,24,24
H4AR021412014,88,88
H4AR040482014,50,50
H4AR040632014,18,18
H4AZ010382012,26,26
H4AZ010382014,36,36
H4AZ040242012,4,4
H4AZ040242014,30,30
H4AZ050882014,1,1
H4AZ060452012,30,30
H4AZ060452014,23,23
H4AZ070432014,6,6
H4CA030962014,37,37
H4CA041022014,8,8
H4CA100752014,24,24
H4CA110812012,72,72
H4CA110812014,64,64
H4CA120552014,670,670
H4CA150662014,1,1
H4CA160492012,52,52
H4CA160492014,70,70
H4CA170212012,6,6
H4CA170212014,18,18
H4CA180602014,1,1
H4CA180942014,1,1
H4CA200822012,112,112
H4CA200822014,94,94
H4CA210722014,45,45
H4CA230112012,30,30
H4CA230112014,44,44
H4CA251232014,24,24
H4CA261472014,87,87
H4CA310712014,6,6
H4CA321032014,3,3
H4CA331192014,100,100
H4CA331352014,139,139
H4CA350312014,5,5
H4CA350492014,3,3
H4CA361202014,58,58
H4CA370782014,1,1
H4CA411202014,10,10
H4CA420862014,2,2
H4CA450972014,44,44
H4CA461292014,1,1
H4CA480422014,3,3
H4CA490322012,166,166
H4CA490992014,1,1
H4CA491072014,1,1
H4CA520512014,159,159
H4CA530592014,2,2
H4CO000232014,9,9
H4CO020942014,12,12
H4CO040902014,52,52
H4CO060872014,155,155
H4CO070362014,14,14
H4CT030822014,1,1
H4FL020622014,124,124
H4FL031102014,1,1
H4FL080852014,5,5
H4FL090832014,13,13
H4FL091332014,2,2
H4FL110712014,6,6
H4FL130772014,1,1
H4FL131012014,54,54
H4FL151552014,7,7
H4FL180682014,15,15
H4FL190582014,3,3
H4FL190742014,6,6
H4FL200642014,1,1
H4FL221102014,1,1
H4FL260382014,121,121
H4GA010392014,6,6
H4GA060872012,40,40
H4GA060872014,60,60
H4GA080672012,16,16
H4GA080672014,36,36
H4GA110612014,10,10
H4GA120102012,180,180
H4GA120102014,292,292
H4HI011342014,39,39
H4IA010692014,19,19
H4IA030652014,59,59
H4IA031152014,65,65
H4IA041132014,49,49
H4IA051022012,98,98
H4IA051022014,60,60
H4ID010812014,1,1
H4IL030772012,8,8
H4IL030772014,2,2
H4IL081262014,18,18
H4IL111952014,40,40
H4IL120602014,66,66
H4IL131752014,61,61
H4IL150552012,42,42
H4IL181172014,2,2
H4IN010122012,6,6
H4IN010122014,14,14
H4IN021352014,17,17
H4IN051532014,1,1
H4IN090722014,1,1
H4KS010752014,1,1
H4KS021152014,5,5
H4KS031882014,8,8
H4KY010402012,36,36
H4KY010402014,36,36
H4KY020892014,3,3
H4KY060722012,148,148
H4KY061302014,30,30
H4LA050802014,2,2
H4LA052212014,3,3
H4LA061532014,55,55
H4LA061612014,16,16
H4LA070292012,192,192
H4LA070292014,68,68
H4MA030222012,12,12
H4MA030222014,22,22
H4MA050842014,59,59
H4MA060332012,70,70
H4MA060332014,134,134
H4MA060902014,123,123
H4MA061242014,2,2
H4MA090782014,13,13
H4MD011012014,9,9
H4MD051692014,1,1
