cand_id,name,transaction_amt
H4FL151552014,92,92
H4FL161462014,14,14
H4FL180682014,46,46
H4FL190582014,11,11
H4FL190742014,56,56
H4FL200642014,2,2
H4FL221102014,3,3
H4FL260382014,318,318
H4GA010392014,60,60
H4GA011202014,1,1
H4GA020602014,7,7
H4GA060872012,266,266
H4GA060872014,538,538
H4GA080672012,68,68
H4GA080672014,218,218
H4GA090572014,3,3
H4GA100892014,5,5
H4GA110612014,53,53
H4GA120102012,1092,1092
H4GA120102014,1932,1932
H4HI011342014,269,269
H4IA010692014,381,381
H4IA030652014,729,729
H4IA031152014,480,480
H4IA031312014,77,77
H4IA041132014,1034,1034
H4IA051022012,658,658
H4IA051022014,62,62
H4ID010812014,63,63
H4IL000322014,1,1
H4IL023012014,5,5
H4IL030772012,186,186
H4IL030772014,144,144
H4IL030932014,8,8
H4IL070372012,46,46
H4IL070372014,26,26
H4IL081262014,132,132
H4IL111952014,206,206
H4IL120602014,455,455
H4IL131752014,661,661
H4IL150552012,1276,1276
H4IL150712014,9,9
H4IL181172014,5,5
H4IN010122012,52,52
H4IN010122014,50,50
H4IN021352014,371,371
H4IN041722014,13,13
H4IN051532014,1,1
H4IN082072014,3,3
H4IN090722014,56,56
H4KS010752014,53,53
H4KS021152014,159,159
H4KS031882014,168,168
H4KS041112014,4,4
H4KY010402012,154,154
H4KY010402014,112,112
H4KY020892014,132,132
H4KY032442014,2,2
H4KY060722012,1284,1284
H4KY061302014,338,338
H4LA050802014,38,38
H4LA052212014,56,56
H4LA061532014,220,220
H4LA061612014,53,53
H4LA070292012,736,736
H4LA070292014,162,162
H4MA030222012,106,106
H4MA030222014,60,60
H4MA030972014,2,2
H4MA050842014,110,110
H4MA060332012,718,718
H4MA060332014,384,384
H4MA060902014,315,315
H4MA061242014,45,45
H4MA090782014,56,56
H4MD011012014,193,193
H4MD021742014,2,2
H4MD041212014,3,3
H4MD051692014,27,27
H4MD061912014,343,343
H4ME000142014,8,8
H4ME011372014,4,4
H4ME022002014,673,673
H4ME022342014,515,515
H4MI011142014,125,125
H4MI021042014,6,6
H4MI032272014,18,18
H4MI041262014,122,122
H4MI041342014,21,21
H4MI051492014,230,230
H4MI061052014,245,245
H4MI071032012,276,276
H4MI071032014,438,438
H4MI071782014,255,255
H4MI081352014,111,111
H4MI110972014,150,150
H4MI111052014,199,199
H4MI120612014,16,16
H4MI120792014,154,154
H4MN021362014,4,4
H4MN050712014,20,20
H4MN060872014,261,261
H4MN061292014,69,69
H4MN061372014,6,6
H4MN070772014,158,158
H4MN080832014,218,218
H4MO041202014,1,1
H4MO052342012,126,126
H4MO052342014,100,100
H4MO081622014,69,69
H4MO082122014,3,3
H4MO082202014,3,3
H4MS011102014,6,6
H4MS020682012,256,256
H4MS020682014,134,134
H4MT000682014,559,559
H4MT010412014,1334,1334
H4NC010462012,178,178
H4NC010462014,98,98
H4NC010952014,7,7
H4NC021272014,586,586
H4NC051462012,534,534
H4NC051462014,594,594
H4NC052452014,7,7
H4NC060112012,84,84
H4NC060522014,189,189
H4NC060862014,479,479
H4NC071002014,22,22
H4NC100472012,278,278
H4NC100472014,336,336
